region,crop_type,year,area_cultivated_ha,production_kg,yield_kg_ha,NDVI_mean,NDVI_peak,temperature_mean,rainfall
Benushangul Gumuz,Millet,2016,32452.56,51824491.0,1597.0,0.7665120539405613,0.8134351270891864,23.53169398907104,2553.3999999999996
Benushangul Gumuz,Teff,2017,24432.5,30318432.0,1241.0,0.728349811396995,0.8363846051490258,23.43770491803279,511.90000000000003
Benushangul Gumuz,Barely,2017,773.15,1119386.0,1448.0,0.728349811396995,0.8363846051490258,23.43770491803279,511.90000000000003
Benushangul Gumuz,Wheat,2017,2081.17,0.0,0.0,0.728349811396995,0.8363846051490258,23.43770491803279,511.90000000000003
Benushangul Gumuz,Maize,2017,49115.09,188481615.0,3838.0,0.69821286925885,0.8363846051490258,23.36141304347826,661.0
Benushangul Gumuz,Sorghum,2017,58377.9,142172507.0,2435.0,0.728349811396995,0.8363846051490258,23.735046728971962,661.5999999999999
Benushangul Gumuz,Millet,2017,29680.79,54448897.0,1834.0,0.728349811396995,0.8363846051490258,23.43770491803279,511.90000000000003
Benushangul Gumuz,Teff,2018,24529.72,32869677.0,1340.0,0.7702447516270627,0.8449917468420812,23.301639344262288,440.7
Benushangul Gumuz,Barely,2018,729.21,1064121.0,1459.0,0.7702447516270627,0.8449917468420812,23.301639344262288,440.7
Benushangul Gumuz,Wheat,2018,2455.71,5908357.0,2406.0,0.7702447516270627,0.8449917468420812,23.301639344262288,440.7
Benushangul Gumuz,Maize,2018,50681.11,203375051.0,4013.0,0.5304715251546811,0.8449917468420812,23.566304347826087,485.0999999999999
Benushangul Gumuz,Sorghum,2018,58946.39,158002844.0,2680.0,0.6772565862603293,0.8449917468420812,23.90233644859813,488.09999999999997
Benushangul Gumuz,Millet,2018,29167.48,57771303.0,1981.0,0.7702447516270627,0.8449917468420812,23.301639344262288,440.7
Benushangul Gumuz,Teff,2019,29726.64,43213513.0,1454.0,0.4358637694578804,0.8483015342351784,22.321311475409836,723.8
Benushangul Gumuz,Barely,2019,1687.07,2637226.0,1563.0,0.4358637694578804,0.8483015342351784,22.321311475409836,723.8
Benushangul Gumuz,Wheat,2019,3033.6,7322787.0,2414.0,0.4358637694578804,0.8483015342351784,22.321311475409836,723.8
Benushangul Gumuz,Maize,2019,62287.85,253986366.0,4078.0,0.34838812964833693,0.8483015342351784,23.011413043478264,762.5
Benushangul Gumuz,Sorghum,2019,56675.14,151995631.0,2682.0,0.4207077075378584,0.8483015342351784,23.119158878504674,770.2
Benushangul Gumuz,Millet,2019,21311.26,42655487.0,2002.0,0.4358637694578804,0.8483015342351784,22.321311475409836,723.8
Benushangul Gumuz,Teff,2020,27130.09,40606801.0,1497.0,0.5349834799051756,0.8339831677524269,23.16065573770492,515.8
Benushangul Gumuz,Wheat,2020,3377.63,8477865.0,2510.0,0.5349834799051756,0.8339831677524269,23.16065573770492,515.8
Benushangul Gumuz,Maize,2020,61948.91,256836140.0,4146.0,0.44129633262656465,0.8339831677524269,23.411413043478266,576.8
Benushangul Gumuz,Sorghum,2020,60134.58,173394724.0,2883.0,0.5006537267047131,0.8339831677524269,23.686915887850468,576.9000000000001
Benushangul Gumuz,Millet,2020,17548.8,36309112.0,2069.0,0.5349834799051756,0.8339831677524269,23.16065573770492,515.8
Benushangul Gumuz,Teff,2021,22021.32,33444520.0,1519.0,0.6476784130654633,0.8524708148676658,23.44863387978142,480.90000000000003
Benushangul Gumuz,Maize,2021,71802.87,308909188.0,4302.0,0.5743452815969645,0.8524708148676658,23.495108695652174,524.5999999999999
Benushangul Gumuz,Sorghum,2021,39742.1,0.0,0.0,0.6091523248841684,0.8524708148676658,23.77289719626168,529.6
Benushangul Gumuz,Millet,2021,23553.74,52537630.0,2231.0,0.6476784130654633,0.8524708148676658,23.44863387978142,480.90000000000003
Benushangul Gumuz,Teff,2022,22021.32,33444520.0,1519.0,0.6349667713506186,0.8395528200026988,22.162295081967216,987.1999999999999
Benushangul Gumuz,Maize,2022,71802.87,308909188.0,4302.0,0.5815743323271291,0.8395528200026988,22.928260869565218,1001.5999999999999
Benushangul Gumuz,Sorghum,2022,39742.1,0.0,0.0,0.6214157046599964,0.8395528200026988,23.08504672897196,1002.2
Benushangul Gumuz,Millet,2022,23553.74,52537630.0,2231.0,0.6349667713506186,0.8395528200026988,22.162295081967216,987.1999999999999
S.N.N.P.R,Teff,2015,238539.4,326860266.0,1370.0,0.9971228223625461,0.9970896740951758,22.461748633879782,696.0
